title,actor,actress,genre,budget,revenue,imdb_score,success
Joker: Folie à Deux,Joaquin Phoenix,Lady Gaga,Drama,195000000,200714058,5.602,1
Pleasure,Sofia Kappel,Zelda Morrison,Drama,1800000,393824,6.227,0
Monster Summer,Mel Gibson,Mason Thames,Aventura,0,0,6.5,0
Bitelchús Bitelchús,Michael Keaton,Winona Ryder,Comedia,100000000,450300598,7.143,1
"Flow, un mundo que salvar",Desconocido,Desconocido,Animación,3500000,0,8.5,0
Bad Boys: Ride or Die,Will Smith,Martin Lawrence,Acción,100000000,402529640,7.491,1
Sin refugio,Scott Adkins,Alice Eve,Acción,0,0,7.0,0
Dominique,Oksana Orlan,Sebastián Carvajal,Acción,0,0,7.4,0
Los tipos malos: ¿Truco o atraco?,Michael Godere,Ezekiel Ajeigbe,Animación,0,0,7.2,0
Megalópolis - Una fábula,Adam Driver,Giancarlo Esposito,Drama,120000000,13734042,5.6,0
"Flow, un mundo que salvar",Desconocido,Desconocido,Animación,3500000,0,8.5,0
일본 엄마,Jeon Ji-hak,Choi Min-ho,Romance,0,0,6.179,0
El hoyo 2,Milena Smit,Hovik Keuchkerian,Ciencia ficción,0,0,5.638,0
1978,Agustin Olcese,Carlos Portaluppi,Terror,0,0,7.25,0
Terrifier,David Howard Thornton,Jenna Kanell,Terror,35000,416322,6.4,1
Aprender a soltar,Josephine Bornebusch,Pål Sverre Hagen,Drama,0,0,7.934,0
Vivir el momento,Andrew Garfield,Florence Pugh,Romance,20000000,24779174,7.795,1
My Hero Academia: You're Next,Daiki Yamashita,Nobuhiko Okamoto,Animación,0,30568047,6.8,1
Amigos imaginarios,Cailey Fleming,Ryan Reynolds,Comedia,110000000,186240904,7.274,1
El Grinch,Benedict Cumberbatch,Rashida Jones,Animación,75000000,508600000,6.858,1
No entres,Pablo Martínez,Lucas Caballero,Terror,550000,0,7.6,0
Garfield: La película,Chris Pratt,Samuel L. Jackson,Animación,60000000,230295748,7.1,1
Cómo entrenar a tu dragón,Jay Baruchel,Gerard Butler,Fantasía,165000000,494879471,7.8,1
Transmorphers: Bestias mecánicas,Tom Arnold,Tania Fox,Acción,0,65452,5.5,1
El fantasma de Canterville,Stephen Fry,Hugh Laurie,Animación,10000000,2000000,6.3,0
Smile,Sosie Bacon,Kyle Gallner,Terror,17000000,217408513,6.7,1
No te muevas,Kelsey Asbille,Finn Wittrock,Suspense,0,0,6.424,0
Project Silence,이선균,주지훈,Acción,14750000,0,7.019,0
Amityville: Where the Echo Lives,Sarah McDonald,Breanna Rossi,Terror,0,0,6.3,0
Garfield: La película,Chris Pratt,Samuel L. Jackson,Animación,60000000,230295748,7.1,1
Cómo entrenar a tu dragón,Jay Baruchel,Gerard Butler,Fantasía,165000000,494879471,7.8,1
Hermanos,Josh Brolin,Peter Dinklage,Acción,0,0,6.051,0
히든페이스,송승헌,조여정,Misterio,0,0,0.0,0
Alice,Megan Fox,Michele Morrone,Ciencia ficción,4400000,262793,6.7,0
My Old Ass,Maisy Stella,Aubrey Plaza,Comedia,3000000,5671147,6.746,1
Terrifier 2,David Howard Thornton,Lauren LaVera,Terror,250000,15740003,6.8,1
Sonic 3: La película,Ben Schwartz,Jim Carrey,Acción,0,0,0.0,0
Romper el círculo,Blake Lively,Justin Baldoni,Romance,25000000,348276888,7.2,1
El reino del planeta de los simios,Owen Teague,Freya Allan,Ciencia ficción,160000000,397366385,7.1,1
Des jours plus belles que la nuit,Wim van Damme,Floor Wyns,Romance,0,0,6.6,0
Godzilla y Kong: El nuevo imperio,Rebecca Hall,Brian Tyree Henry,Acción,150000000,567156493,7.1,1
Twisters,Daisy Edgar-Jones,Glen Powell,Suspense,155000000,369590675,6.931,1
Migración. Un viaje patas arriba,Kumail Nanjiani,Elizabeth Banks,Animación,72000000,298776052,7.4,1
Borderlands,Cate Blanchett,Kevin Hart,Acción,115000000,30863794,5.8,0
Smile,Sosie Bacon,Kyle Gallner,Terror,17000000,217408513,6.7,1
xXx,Vin Diesel,Asia Argento,Acción,70000000,277448382,5.938,1
Civil War,Kirsten Dunst,Wagner Moura,Bélica,50000000,0,6.909,0
Furiosa: De la saga Mad Max,Anya Taylor-Joy,Chris Hemsworth,Acción,170000000,172775791,7.534,1
Dune: Parte dos,Timothée Chalamet,Zendaya,Ciencia ficción,190000000,711844359,8.2,1
Un lugar tranquilo: Día uno,Lupita Nyong'o,Joseph Quinn,Terror,67000000,260894737,6.8,1
La invención de la carne,Umbra Colombo,Diego Benedetto,Drama,0,0,3.8,0
Nunca te sueltes,Halle Berry,Anthony B. Jenkins,Terror,20000000,13111608,6.309,0
No hables con extraños,James McAvoy,Mackenzie Davis,Terror,15000000,75711395,7.4,1
Harry Potter y la piedra filosofal,Daniel Radcliffe,Rupert Grint,Aventura,125000000,976475550,7.9,1
가슴 큰 여자친구,유정,Kang Min-sik,Romance,0,0,7.0,0
El Grinch,Benedict Cumberbatch,Rashida Jones,Animación,75000000,508600000,6.858,1
Gekijou-ban Dakaretai Otoko 1-i ni Odosarete Imasu. Spain-Hen,Hiroki Takahashi,Yuki Ono,Animación,0,0,7.5,0
Guardiana de dragones (Dragonkeeper),Lucía Pérez,Mario Gas,Acción,25600000,5427272,7.5,0
Hechizados,Rachel Zegler,Miguel Bernardeau,Animación,0,0,6.7,0
Corte en el tiempo,Madison Bailey,Antonia Gentry,Terror,0,0,5.6,0
"Hello, Love, Again",Kathryn Bernardo,Alden Richards,Romance,0,12665131,5.7,1
Encanto,Stephanie Beatriz,María Cecilia Botero,Animación,135000000,261289554,7.6,1
Fuera de las sombras,Aurora Ribero,Hana Malasan,Acción,0,0,7.4,0
Un muñeco de nieve para derretirse,Lacey Chabert,Dustin Milligan,Romance,0,0,6.521,0
하이재킹,하정우,여진구,Acción,0,14,6.2,1
Fast & Furious X,Vin Diesel,Michelle Rodríguez,Acción,340000000,704709660,7.1,1
Harold y el lápiz mágico,Zachary Levi,Lil Rel Howery,Familia,40000000,24982787,7.0,0
The Silent Hour,Joel Kinnaman,Sandra Mae Frank,Crimen,0,0,6.468,0
"Hello, Love, Again",Kathryn Bernardo,Alden Richards,Romance,0,12665131,5.7,1
Como agua para chocolate,Lumi Cavazos,Regina Torné,Drama,2000000,21744201,7.245,1
Presa,Ryan Phillippe,Emile Hirsch,Acción,0,0,6.323,0
Fuera de las sombras,Aurora Ribero,Hana Malasan,Acción,0,0,7.4,0
가슴 큰 여자친구,유정,Kang Min-sik,Romance,0,0,7.0,0
Invasión,Tarikh Janssen,Gijs Blom,Acción,0,0,4.9,0
Operation Black Ops,Tito Ortiz,Cristiane Justino,Acción,0,0,5.6,0
Cadena perpetua,Tim Robbins,Morgan Freeman,Drama,25000000,28341469,8.707,1
Heretic,Sophie Thatcher,Chloe East,Terror,0,0,7.0,0
Tatsulok: Tatlo Magkasalo,Mariane Saint,Marlon Marcia,Drama,0,0,6.2,0
Transformers: El despertar de las bestias,Anthony Ramos,Dominique Fishback,Ciencia ficción,195000000,439000000,7.294,1
Vengadores: Infinity War,Robert Downey Jr.,Chris Evans,Aventura,300000000,2052415039,8.2,1
하이재킹,하정우,여진구,Acción,0,14,6.2,1
365 días: Aquel día,Anna-Maria Sieklucka,Michele Morrone,Romance,0,0,5.873,0
Nos vemos la próxima Navidad,Christina Milian,Devale Ellis,Romance,0,0,6.355,0
Joni pata de conejo,Jose Valero,Gregor Acuña-Pohl,Acción,0,0,6.5,0
Winnie the Pooh 2: El bosque sangriento,Scott Chambers,Ryan Oliva,Terror,415000,7582541,6.2,1
Oppenheimer,Cillian Murphy,Emily Blunt,Drama,100000000,952000000,8.082,1
Juego de asesinos,Dave Bautista,Sofia Boutella,Acción,30000000,5090881,6.885,0
Cadena perpetua,Tim Robbins,Morgan Freeman,Drama,25000000,28341469,8.707,1
Los festivos caballeros,Britt Robertson,Chad Michael Murray,Romance,0,0,5.8,0
Nos vemos la próxima Navidad,Christina Milian,Devale Ellis,Romance,0,0,6.355,0
Diabolik ¿Quién eres?,Giacomo Gianniotti,Miriam Leone,Crimen,0,0,6.311,0
Arena Wars,Michael Madsen,Eric Roberts,Acción,0,0,5.55,0
365 días: Aquel día,Anna-Maria Sieklucka,Michele Morrone,Romance,0,0,5.873,0
Heretic,Sophie Thatcher,Chloe East,Terror,0,0,7.0,0
"Invasión, insurrección",강동원,박정민,Acción,0,0,7.1,0
Transformers: El despertar de las bestias,Anthony Ramos,Dominique Fishback,Ciencia ficción,195000000,439000000,7.294,1
Anora,Mikey Madison,Марк Эйдельштейн,Drama,3250000,10008712,7.3,1
"Los Green en la gran ciudad, la película: Salvando el Greenverso",Chris Houghton,Marieve Herington,Animación,0,0,7.7,0
Harold y el lápiz mágico,Zachary Levi,Lil Rel Howery,Familia,40000000,24982787,7.0,0
John Wick 4,Keanu Reeves,Donnie Yen,Acción,90000000,440157245,7.731,1
Bila Esok Ibu Tiada,Christine Hakim,Adinia Wirasti,Drama,0,0,6.5,0
Ritual de la oscuridad,John Wells,Madison Pullins,Terror,0,0,6.1,0
Solo en casa 2: Perdido en Nueva York,Macaulay Culkin,Daniel Stern,Comedia,18000000,358994850,6.7,1
Dune,Timothée Chalamet,Rebecca Ferguson,Ciencia ficción,165000000,407573628,7.8,1
Los descendientes: Corazón rebelde,Kylie Cantrall,Malia Baker,Fantasía,0,0,6.9,0
Al rescate de Fondo de Bikini: La película de Arenita Mejillas,Carolyn Lawrence,Tom Kenny,Animación,100000000,0,6.4,0
Tatsulok: Tatlo Magkasalo,Mariane Saint,Marlon Marcia,Drama,0,0,6.2,0
Joni pata de conejo,Jose Valero,Gregor Acuña-Pohl,Acción,0,0,6.5,0
Longlegs,Maika Monroe,Nicolas Cage,Terror,10000000,102469694,6.651,1
La novia cadáver,Johnny Depp,Helena Bonham Carter,Romance,40000000,118133252,7.581,1
Héroes de Central Park,Monica Young,Danny Fehsenfeld,Animación,0,311198,6.4,1
Despierta la furia,Jason Statham,Holt McCallany,Crimen,40000000,103966489,7.632,1
Vaiana,Catherine Laga'Aia,Dwayne Johnson,Aventura,0,0,0.0,0
Super Mario Bros: La película,Chris Pratt,Anya Taylor-Joy,Animación,100000000,1362000000,7.642,1
"Miraculous World: París, las aventuras de Shadybug y Claw Noir",Annouck Hautbois,Benjamin Bollen,Animación,0,0,7.193,0
Cómo entrenar a tu dragón 2,Jay Baruchel,Cate Blanchett,Fantasía,145000000,621537519,7.7,1
Harry Potter y la cámara secreta,Daniel Radcliffe,Rupert Grint,Aventura,100000000,876688482,7.7,1
Un padre ideal,Laurent Gerra,Eddy Mitchell,Drama,0,0,6.3,0
Del revés (Inside Out),Amy Poehler,Phyllis Smith,Animación,175000000,857611174,7.9,1
Ahí afuera,Sid Lucero,Beauty Gonzalez,Terror,0,0,6.029,0
The Convert,Guy Pearce,Tioreore Ngatai-Melbourne,Acción,0,692018,6.2,1
Invasión,Tarikh Janssen,Gijs Blom,Acción,0,0,4.9,0
Avatar: El sentido del agua,Sam Worthington,Zoe Saldaña,Ciencia ficción,460000000,2320250281,7.619,1
Mufasa: El rey león,Aaron Pierre,Kelvin Harrison Jr.,Aventura,0,0,0.0,0
Saturday Night,Gabriel LaBelle,Rachel Sennott,Comedia,25000000,8194478,7.071,0
El Gato con Botas: El último deseo,Antonio Banderas,Salma Hayek Pinault,Animación,90000000,484700000,8.2,1
Las contrabandistas de Guncheon,김혜수,염정아,Crimen,0,0,6.638,0
Mátalos a todos 2,Jean-Claude Van Damme,Jacqueline Fernandez,Acción,0,0,6.7,0
Culpa tuya,Nicole Wallace,Gabriel Guevara,Drama,0,0,0.0,0
"Sonic 2, la película",Ben Schwartz,James Marsden,Acción,110000000,405421518,7.5,1
La carne,Sergio Castellitto,Francesca Dellera,Drama,0,0,5.3,0
Como agua para chocolate,Lumi Cavazos,Regina Torné,Drama,2000000,21744201,7.245,1
Look Back,河合優実,吉田美月喜,Animación,0,11497666,8.0,1
Emilia Pérez,Karla Sofía Gascón,Zoe Saldaña,Drama,26885000,8055913,7.8,0
Oppenheimer,Cillian Murphy,Emily Blunt,Drama,100000000,952000000,8.082,1
El señor de los anillos: La comunidad del anillo,Elijah Wood,Ian McKellen,Aventura,93000000,871368364,8.415,1
Shrek,Mike Myers,Eddie Murphy,Animación,60000000,488628188,7.743,1
Rita,Christine Bermas,Gold Aceron,Drama,0,0,6.0,0
Batman,Robert Pattinson,Zoë Kravitz,Crimen,185000000,771000000,7.669,1
Blue Beetle,Xolo Mariduena,Bruna Marquezine,Acción,104000000,130788072,6.746,1
Joker,Joaquin Phoenix,Robert De Niro,Crimen,55000000,1078958629,8.147,1
"Las crónicas de Narnia: El león, la bruja y el armario",William Moseley,Anna Popplewell,Aventura,180000000,745013115,7.1,1
Los Vengadores,Robert Downey Jr.,Chris Evans,Ciencia ficción,220000000,1518815515,7.72,1
El rey león,Matthew Broderick,Moira Kelly,Familia,45000000,763455561,8.257,1
El corredor del laberinto,Dylan O'Brien,Kaya Scodelario,Acción,34000000,348319861,7.189,1
Skincare,Elizabeth Banks,Lewis Pullman,Suspense,0,451381,5.9,1
Los mundos de Coraline,Dakota Fanning,Teri Hatcher,Animación,60000000,185860104,7.892,1
Toy Story 2: los juguetes vuelven a la carga,Tom Hanks,Tim Allen,Animación,90000000,497375381,7.596,1
Twilight of the Warriors: Walled In,Raymond Lam,古天樂,Acción,38400000,95335412,6.8,1
Rippy,Michael Biehn,Tess Haubrich,Terror,0,0,4.7,0
Elemental,Leah Lewis,Mamoudou Athie,Animación,200000000,496000000,7.632,1
Dinero sucio,Jonathan Rhys Meyers,Melissa Leo,Acción,0,0,4.9,0
Llamada privada,Gabriel Ng,Carolina Herrera,Suspense,0,0,7.0,0
Los hombres lobo,Franck Dubosc,Jean Reno,Aventura,0,0,5.681,0
Top Gun: Maverick,Tom Cruise,Miles Teller,Acción,170000000,1488732821,8.2,1
Rebel Ridge,Aaron Pierre,Don Johnson,Crimen,0,0,7.0,0
El caballero oscuro,Christian Bale,Heath Ledger,Drama,185000000,1004558444,8.5,1
Corrupción en Bangkok: Entre el cielo y el infierno,ศุกลวัฒน์ คณารศ,Atitaya Tribudarak,Acción,0,0,6.5,0
Kill: Masacre En El Tren,Lakshya Lalwani,Raghav Juyal,Acción,3000000,5400000,7.1,1
Barbie,Margot Robbie,Ryan Gosling,Comedia,145000000,1445638421,7.0,1
Big Hero 6,Scott Adsit,Ryan Potter,Aventura,165000000,657870525,7.732,1
The Gigolo,Dominic Ho,Candy Yuen,Romance,0,709136,5.0,1
LEGO Marvel Avengers: Misión Demolición,Will Friedle,Kevin Smith,Animación,0,0,6.9,0
Harry Potter y el misterio del príncipe,Daniel Radcliffe,Rupert Grint,Aventura,250000000,933959197,7.689,1
"Alien, el octavo pasajero",Tom Skerritt,Sigourney Weaver,Terror,11000000,104931801,8.158,1
Scream,Melissa Barrera,Jenna Ortega,Terror,24000000,137743924,6.672,1
Toy Story (Juguetes),Tom Hanks,Tim Allen,Animación,30000000,394436586,7.97,1
Piratas del Caribe: La maldición de la Perla Negra,Johnny Depp,Orlando Bloom,Aventura,140000000,655011224,7.806,1
Pesadilla antes de Navidad,Danny Elfman,Chris Sarandon,Fantasía,18000000,75634409,7.841,1
가자! 장미여관으로,Sung Eun-chae,Jang Sung-won,Drama,0,0,4.0,0
Problemas...,Filip Berg,Amy Deasismont,Acción,0,0,6.8,0
Cellar Door,Jordana Brewster,Scott Speedman,Suspense,0,0,6.5,0
Frozen: El reino del hielo,Kristen Bell,Idina Menzel,Animación,150000000,1274219009,7.246,1
Titanic,Leonardo DiCaprio,Kate Winslet,Drama,200000000,2264162353,7.906,1
El túnel de los deseos,鈴鹿央士,飯豊まりえ,Animación,0,872000,7.741,1
El señor de los anillos: El retorno del rey,Elijah Wood,Ian McKellen,Aventura,94000000,1118888979,8.482,1
The Marvels,Brie Larson,Teyonah Parris,Ciencia ficción,274800000,207089999,6.1,0
Los mercen4rios,Jason Statham,50 Cent,Acción,100000000,37917985,6.2,0
Cincuenta sombras de Grey,Dakota Johnson,Jamie Dornan,Drama,40000000,569651467,5.884,1
The Fallout,Jenna Ortega,Maddie Ziegler,Drama,0,0,7.597,0
Harry Potter y el prisionero de Azkaban,Daniel Radcliffe,Rupert Grint,Aventura,130000000,789804554,8.016,1
The equalizer (El protector),Denzel Washington,Marton Csokas,Suspense,55000000,192330738,7.279,1
Pacific Rim,Charlie Hunnam,Rinko Kikuchi,Acción,180000000,411000000,6.902,1
Wish: El poder de los deseos,Ariana DeBose,Chris Pine,Animación,175000000,254997360,6.338,1
Harry Potter y el cáliz de fuego,Daniel Radcliffe,Rupert Grint,Aventura,150000000,895921036,7.808,1
Perros de guerra,Frank Grillo,Robert Patrick,Acción,0,0,6.5,0
El baño del diablo,Anja Plaschg,Maria Hofstätter,Terror,0,0,6.8,0
Terrifier,Marie Maser,Mike Giannelli,Terror,0,0,6.228,0
Road House (De profesión: duro),Jake Gyllenhaal,Billy Magnussen,Acción,85000000,0,7.0,0
Oddity,Gwilym Lee,Carolyn Bracken,Terror,0,1265030,6.9,1
Beekeeper: El protector,Jason Statham,Emmy Raver-Lampman,Crimen,35000000,152720535,7.3,1
Agente cinturón negro,Kim Woo-bin,김성균,Acción,0,0,7.782,0
Strange Darling,Willa Fitzgerald,Kyle Gallner,Crimen,4000000,3504687,7.0,0
La cosa (El enigma de otro mundo),Kurt Russell,Keith David,Terror,15000000,19629760,8.1,1
Kalikot,Van Allen Ong,Sheila Snow,Drama,0,0,6.5,0
Absolution,Liam Neeson,Ron Perlman,Acción,30000000,0,5.9,0
Blade Runner 2049,Ryan Gosling,Harrison Ford,Ciencia ficción,150000000,259239658,7.6,1
Titane,Vincent Lindon,Agathe Rousselle,Drama,6600000,4982335,6.4,0
El búho y la niña: Casi una historia navideña,Cary Christopher,Estella Madrigal,Animación,0,0,7.674,0
El mago de Oz,Judy Garland,Frank Morgan,Aventura,2777000,33754967,7.6,1
Toy Story 4,Tom Hanks,Tim Allen,Familia,175000000,1073841394,7.488,1
Avatar,Sam Worthington,Zoe Saldaña,Acción,237000000,2923706026,7.582,1
Pokémon Detective Pikachu,Ryan Reynolds,Justice Smith,Acción,150000000,449762638,6.931,1
Los odiosos ocho,Samuel L. Jackson,Kurt Russell,Drama,44000000,155760117,7.8,1
Origen,Leonardo DiCaprio,Joseph Gordon-Levitt,Acción,160000000,825532764,8.369,1
El asesino del juego de citas,Anna Kendrick,Daniel Zovatto,Crimen,0,0,6.5,0
Daddy's Head,Julia Brown,Nathaniel Martello-White,Terror,0,0,5.9,0
Los mercen4rios,Jason Statham,50 Cent,Acción,100000000,37917985,6.2,0
Terrifier,Marie Maser,Mike Giannelli,Terror,0,0,6.228,0
Parásitos,송강호,이선균,Comedia,11363000,257591776,8.505,1
Matrix,Keanu Reeves,Laurence Fishburne,Acción,63000000,463517383,8.217,1
El lobo de Wall Street,Leonardo DiCaprio,Jonah Hill,Crimen,100000000,392000000,8.033,1
Piratas del Caribe: El cofre del hombre muerto,Johnny Depp,Orlando Bloom,Aventura,200000000,1065700000,7.4,1
Wish: El poder de los deseos,Ariana DeBose,Chris Pine,Animación,175000000,254997360,6.338,1
Cincuenta sombras liberadas,Dakota Johnson,Jamie Dornan,Drama,55000000,371985018,6.701,1
Avatar,Sam Worthington,Zoe Saldaña,Acción,237000000,2923706026,7.582,1
Frozen: El reino del hielo,Kristen Bell,Idina Menzel,Animación,150000000,1274219009,7.246,1
Mentiras y gordas,Mario Casas,Ana de Armas,Comedia,0,5723917,4.5,1
Un/Happy for You,Joshua Garcia,Julia Barretto,Romance,0,0,4.5,0
Minions: El origen de Gru,Steve Carell,Pierre Coffin,Animación,85000000,940203765,7.3,1
Boyka: Invicto IV,Scott Adkins,Teodora Duhovnikova,Acción,0,413334,7.154,1
Harry Potter y las Reliquias de la Muerte - Parte 2,Daniel Radcliffe,Emma Watson,Fantasía,125000000,1341511219,8.093,1
Kalikot,Van Allen Ong,Sheila Snow,Drama,0,0,6.5,0
El viaje de Chihiro,柊瑠美,Miyu Irino,Animación,19000000,274925095,8.538,1
V3nganza,Liam Neeson,Forest Whitaker,Suspense,48000000,325800000,6.259,1
El hobbit: La batalla de los cinco ejércitos,Ian McKellen,Martin Freeman,Acción,250000000,956019788,7.3,1
GTMAX,Ava Baya,Jalil Lespert,Acción,0,0,6.1,0
El club de la lucha,Edward Norton,Brad Pitt,Drama,63000000,100853753,8.437,1
Liga de la Justicia: Crisis en Tierras Infinitas – Parte 3,Jensen Ackles,Darren Criss,Animación,0,0,7.4,0
El rey león,Chiwetel Ejiofor,John Oliver,Aventura,260000000,1663000000,7.116,1
El especialista,Ryan Gosling,Emily Blunt,Acción,125000000,181035480,7.1,1
Crueles intenciones,Ryan Phillippe,Sarah Michelle Gellar,Drama,10500000,76347426,6.8,1
Mad Max: Furia en la carretera,Tom Hardy,Charlize Theron,Acción,150000000,378858340,7.616,1
Guardianes de la Galaxia: Volumen 3,Chris Pratt,Zoe Saldaña,Ciencia ficción,250000000,845600000,7.964,1
El ministerio de la Guerra Sucia,Henry Cavill,Eiza González,Acción,60000000,27450915,7.118,0
Boyka: Invicto IV,Scott Adkins,Teodora Duhovnikova,Acción,0,413334,7.154,1
Polar Express,Tom Hanks,Leslie Zemeckis,Animación,165000000,310634054,6.719,1
La ballena (The Whale),Brendan Fraser,Sadie Sink,Drama,3000000,55101305,7.8,1
Ferdinand,John Cena,Kate McKinnon,Animación,111000000,295038508,7.211,1
Lassie (Una nueva aventura),Nico Marischka,Katharina Schüttler,Aventura,0,4918295,7.0,1
Harry Potter y las Reliquias de la Muerte - Parte 2,Daniel Radcliffe,Emma Watson,Fantasía,125000000,1341511219,8.093,1
Crepúsculo,Kristen Stewart,Robert Pattinson,Fantasía,37000000,393616788,6.3,1
Buscando a Nemo,Albert Brooks,Ellen DeGeneres,Animación,94000000,940335536,7.819,1
La idea de tenerte,Anne Hathaway,Nicholas Galitzine,Romance,0,36178,7.4,1
Harry Potter y la Orden del Fénix,Daniel Radcliffe,Rupert Grint,Aventura,150000000,938212738,7.677,1
Ipar Adalah Maut,Michelle Ziudith,Deva Mahenra,Drama,0,0,6.8,0
Jackpot!,Awkwafina,John Cena,Comedia,0,0,6.415,0
La mujer rey,Viola Davis,Thuso Mbedu,Acción,50000000,97300000,7.7,1
Ratatouille,Patton Oswalt,Ian Holm,Animación,150000000,623726000,7.824,1
Gracie & Pedro: Pets to the Rescue,Claire Alan,Cory Doran,Animación,0,664443,6.9,1
The Equalizer 3,Denzel Washington,Dakota Fanning,Acción,70000000,190000000,7.3,1
El hobbit: La batalla de los cinco ejércitos,Ian McKellen,Martin Freeman,Acción,250000000,956019788,7.3,1
Spider-Man: un nuevo universo,Shameik Moore,Jake Johnson,Animación,90000000,384298736,8.399,1
Vengadores: La Era de Ultrón,Robert Downey Jr.,Chris Hemsworth,Acción,365000000,1405403694,7.3,1
Below Her Mouth,Erika Linder,Natalie Krill,Drama,0,33673,6.816,1
Parpadea dos veces,Naomi Ackie,Channing Tatum,Misterio,20000000,43555474,6.797,1
Vengadores: Endgame,Robert Downey Jr.,Chris Evans,Aventura,356000000,2799439100,8.247,1
365 días más,Anna-Maria Sieklucka,Michele Morrone,Romance,0,0,6.412,0
Train to Busan,공유,김수안,Terror,8500000,87547518,7.755,1
Abigail,Melissa Barrera,Dan Stevens,Terror,28000000,42241257,6.81,1
Acero Puro,Hugh Jackman,Dakota Goyo,Acción,110000000,299300000,7.0,1
레깅스 마니아,James,Im Cho-hee,Drama,0,0,5.0,0
¡Canta! 2,Matthew McConaughey,Reese Witherspoon,Animación,85000000,408402685,7.862,1
En las profundidades del Sena,Bérénice Bejo,Nassim Lyes,Acción,0,0,5.995,0
El emperador y sus locuras,David Spade,John Goodman,Aventura,100000000,169327687,7.56,1
Free Guy,Ryan Reynolds,Jodie Comer,Comedia,110000000,331526598,7.5,1
Constantine,Keanu Reeves,Rachel Weisz,Fantasía,100000000,230900000,7.1,1
Bitelchús,Alec Baldwin,Geena Davis,Fantasía,15000000,84554197,7.381,1
La sirenita,Halle Bailey,Jonah Hauer-King,Aventura,297000000,569626289,6.345,1
Cómo entrenar a tu dragón: vuelta a casa,Jay Baruchel,America Ferrera,Animación,0,0,8.051,0
Jurassic World: Dominion,Chris Pratt,Bryce Dallas Howard,Aventura,165000000,1001978080,6.7,1
"Monstruos, S.A.",John Goodman,Billy Crystal,Animación,115000000,579700000,7.845,1
Misión: Imposible - Sentencia mortal parte uno,Tom Cruise,Hayley Atwell,Acción,291000000,567535383,7.5,1
Enredados,Mandy Moore,Zachary Levi,Animación,260000000,592461732,7.604,1
Shrek 2,Mike Myers,Eddie Murphy,Animación,150000000,935454538,7.282,1
Latencia,Sasha Luss,Alexis Ren,Ciencia ficción,0,0,5.5,0
