title,actor,actress,genre,budget,revenue,imdb_score,success
Cincuenta sombras de Grey,Jamie Dornan,Dakota Johnson,Drama,40000000,569651467,5.882,1
Mision: Salvar el bosque,Desconocido,Desconocido,Animación,5000000,0,8.6,0
Shrek,Mike Myers,Cameron Diaz,Animación,60000000,488628188,7.745,1
하이재킹,하정우,채수빈,Acción,0,14602614,6.5,0
Harry Potter y las Reliquias de la Muerte - Parte 1,Daniel Radcliffe,Emma Watson,Aventura,250000000,954305868,7.746,1
Mercenaria,Maurice Compte,Oksana Orlan,Acción,0,0,7.255,0
My Old Ass,Percy Hynes White,Maisy Stella,Comedia,3000000,5705895,6.8,1
La hora del silencio,Joel Kinnaman,Sandra Mae Frank,Crimen,0,209307,6.5,0
Abigail,Dan Stevens,Melissa Barrera,Terror,28000000,42791449,6.8,1
Nosferatu,Max Schreck,Greta Schröder,Terror,0,19054,7.671,0
No hables con extraños,James McAvoy,Mackenzie Davis,Terror,15000000,76756109,7.3,1
Elemental,Mamoudou Athie,Leah Lewis,Animación,200000000,496444308,7.6,1
Del revés (Inside Out),Richard Kind,Amy Poehler,Animación,175000000,857611174,7.912,1
Los descendientes: Corazón rebelde,Joshua Colley,Kylie Cantrall,Fantasía,0,0,6.9,0
Fast & Furious: Hobbs & Shaw,Dwayne Johnson,Vanessa Kirby,Acción,200000000,760098996,6.856,1
Coco,Anthony Gonzalez,Alanna Ubach,Familia,175000000,807816196,8.207,1
Turno nocturno,Tony Dalton,Paulina Gaitán,Terror,0,0,4.9,0
Vengadores: Endgame,Robert Downey Jr.,Scarlett Johansson,Aventura,356000000,2799439100,8.2,1
Un silencio,Daniel Auteuil,Emmanuelle Devos,Drama,0,0,5.0,0
Shrek 2,Mike Myers,Cameron Diaz,Animación,150000000,935454538,7.283,1
The Brutalist,Adrien Brody,Felicity Jones,Drama,10000000,5875094,6.0,0
Guardiana de dragones (Dragonkeeper),Mario Gas,Yang Enyou,Acción,25600000,6206231,7.6,0
"Miraculous World: París, las aventuras de Shadybug y Claw Noir",Benjamin Bollen,Annouck Hautbois,Animación,0,0,7.2,0
Harry Potter y la Orden del Fénix,Daniel Radcliffe,Emma Watson,Aventura,150000000,938212738,7.676,1
Cincuenta sombras liberadas,Jamie Dornan,Dakota Johnson,Drama,55000000,371985018,6.7,1
No hables con extraños,James McAvoy,Mackenzie Davis,Terror,15000000,76756109,7.3,1
Bitelchús Bitelchús,Michael Keaton,Winona Ryder,Comedia,100000000,451100435,7.1,1
Los tipos malos: ¿Truco o atraco?,Michael Godere,Mallory Low,Animación,0,0,7.0,0
Los descendientes: Corazón rebelde,Joshua Colley,Kylie Cantrall,Fantasía,0,0,6.9,0
Toy Story,Tom Hanks,Annie Potts,Animación,30000000,394436586,7.97,1
Somos los Miller,Jason Sudeikis,Jennifer Aniston,Comedia,37000000,270000000,6.828,1
Harry Potter y la Orden del Fénix,Daniel Radcliffe,Emma Watson,Aventura,150000000,938212738,7.676,1
Guardianes de la Galaxia: Volumen 3,Chris Pratt,Zoe Saldaña,Ciencia ficción,250000000,845600000,8.0,1
Perros de guerra,Frank Grillo,Rhona Mitra,Acción,0,0,6.516,0
La lista de Schindler,Liam Neeson,Caroline Goodall,Drama,22000000,321365567,8.568,1
동창회의 목적: 더 비기닝,Desconocido,Yoo Ji-won,Comedia,0,0,8.5,0
Megalodón 2: La fosa,Jason Statham,Shuya Sophia Cai,Acción,129000000,384056482,6.5,1
Cincuenta sombras liberadas,Jamie Dornan,Dakota Johnson,Drama,55000000,371985018,6.7,1
Elemental,Mamoudou Athie,Leah Lewis,Animación,200000000,496444308,7.6,1
Misión: Imposible - Sentencia mortal parte uno,Tom Cruise,Hayley Atwell,Acción,291000000,567535383,7.543,1
Corazones de acero,Brad Pitt,Anamaria Marinca,Bélica,68000000,211817906,7.539,1
El destino de Sikandar,Jimmy Shergill,Tamannaah Bhatia,Suspense,0,0,5.6,0
"Miraculous World: París, las aventuras de Shadybug y Claw Noir",Benjamin Bollen,Annouck Hautbois,Animación,0,0,7.2,0
Aquella Navidad,Brian Cox,Fiona Shaw,Animación,0,0,7.1,0
Avatar,Sam Worthington,Zoe Saldaña,Acción,237000000,2923706026,7.584,1
Harry Potter y el misterio del príncipe,Daniel Radcliffe,Emma Watson,Aventura,250000000,933959197,7.687,1
Toy Story,Tom Hanks,Annie Potts,Animación,30000000,394436586,7.97,1
Presa,Ryan Phillippe,Mena Suvari,Acción,0,0,6.17,0
No entres,Desconocido,Desconocido,Terror,550000,0,7.2,0
Borderlands,Kevin Hart,Cate Blanchett,Acción,115000000,32978510,5.749,0
Young Hearts,Lou Goossens,Emilie De Roo,Drama,0,0,8.4,0
El último late night,David Dastmalchian,Laura Gordon,Terror,2000000,15469415,7.189,1
Vengadores: La Era de Ultrón,Robert Downey Jr.,Scarlett Johansson,Acción,365000000,1405403694,7.3,1
2073,Hector Hewer,Samantha Morton,Suspense,0,7125,7.152,0
Winnie the Pooh 2: El bosque sangriento,Scott Chambers,Tallulah Evans,Terror,500000,7582541,6.0,1
Sin refugio,Scott Adkins,Alice Eve,Acción,0,0,7.0,0
Avatar,Sam Worthington,Zoe Saldaña,Acción,237000000,2923706026,7.584,1
새엄마의 욕망,James,이수,Drama,0,0,6.5,0
Hiram na Sandali,Vince Rillon,Dyessa Garcia,Drama,0,0,0.0,0
Cacería Sangrienta,Turlough Convery,Desconocido,Terror,0,251071,7.2,0
DSI: Departamento Secreto de Intervención,Pierre André,Aurore Planas,Acción,0,0,5.1,0
Yo no soy esa,Adam Jezierski,Verónica Echegui,Comedia,0,0,4.3,0
Y2K,Jaeden Martell,Rachel Zegler,Comedia,15000000,4210306,5.3,0
Ratatouille,Patton Oswalt,Janeane Garofalo,Animación,150000000,623726000,7.826,1
Piratas del Caribe: La maldición de la Perla Negra,Johnny Depp,Keira Knightley,Aventura,140000000,655011224,7.8,1
Wish: El poder de los deseos,Chris Pine,Ariana DeBose,Animación,175000000,254997360,6.3,1
Man with No Past,Jon Voight,Charlotte Vega,Acción,0,0,6.2,0
Pimpinero: Sangre y gasolina,Juanes,Laura Osma,Acción,0,0,7.0,0
Puñales por la espalda,Daniel Craig,Ana de Armas,Comedia,40000000,312897920,7.846,1
Harry Potter y las Reliquias de la Muerte - Parte 2,Daniel Radcliffe,Emma Watson,Fantasía,125000000,1341511219,8.09,1
El diario de Noah,Ryan Gosling,Rachel McAdams,Romance,29000000,115600000,7.89,1
Jurassic World: Dominion,Chris Pratt,Bryce Dallas Howard,Aventura,165000000,1001978080,6.686,1
Enredados,Zachary Levi,Mandy Moore,Animación,260000000,592461732,7.6,1
Spider-Man,Tobey Maguire,Kirsten Dunst,Acción,139000000,821708551,7.303,1
El viaje de Chihiro,Miyu Irino,柊瑠美,Animación,19000000,274925095,8.537,1
My Old Ass,Percy Hynes White,Maisy Stella,Comedia,3000000,5705895,6.8,1
"Alien, el octavo pasajero",Tom Skerritt,Sigourney Weaver,Terror,11000000,104931801,8.159,1
어린 엄마 2,Jeon Ji-hak,Kim Woo-kyung,Romance,0,0,3.5,0
La guerra de las galaxias,Mark Hamill,Carrie Fisher,Aventura,11000000,775398007,8.204,1
1978,Agustin Olcese,Paula Silva,Terror,0,0,6.2,0
Wonka,Timothée Chalamet,Calah Lane,Comedia,125000000,632302312,7.1,1
Iron Man,Robert Downey Jr.,Gwyneth Paltrow,Acción,140000000,585174222,7.648,1
The Convert,Guy Pearce,Tioreore Ngatai-Melbourne,Acción,0,692018,6.188,0
Atrapados en el abismo,Colm Meaney,Phyllis Logan,Suspense,0,0,6.3,0
Buscando a Nemo,Albert Brooks,Ellen DeGeneres,Animación,94000000,940335536,7.819,1
The Equalizer 3,Denzel Washington,Dakota Fanning,Acción,70000000,190000000,7.324,1
La bella y la bestia,Dan Stevens,Emma Watson,Familia,160000000,1266115964,7.0,1
Crepúsculo,Robert Pattinson,Kristen Stewart,Fantasía,37000000,393616788,6.293,1
Zootrópolis,Jason Bateman,Ginnifer Goodwin,Animación,150000000,1023784195,7.749,1
Pimpinero: Sangre y gasolina,Juanes,Laura Osma,Acción,0,0,7.0,0
The equalizer (El protector),Denzel Washington,Chloë Grace Moretz,Suspense,55000000,192330738,7.283,1
Mad Max: Furia en la carretera,Tom Hardy,Charlize Theron,Acción,150000000,378858340,7.618,1
Resacón en Las Vegas,Bradley Cooper,Heather Graham,Comedia,35000000,469310836,7.322,1
Encanto,John Leguizamo,Stephanie Beatriz,Animación,135000000,261289554,7.6,1
Pinceladas de amor,永瀬廉,出口夏希,Romance,0,0,8.5,0
La acompañante,Jack Quaid,Sophie Thatcher,Terror,10000000,0,8.0,0
"Alien, el octavo pasajero",Tom Skerritt,Sigourney Weaver,Terror,11000000,104931801,8.159,1
Smile,Kyle Gallner,Sosie Bacon,Terror,17000000,217408513,6.7,1
The Convert,Guy Pearce,Tioreore Ngatai-Melbourne,Acción,0,692018,6.188,0
Amityville: Where the Echo Lives,Desconocido,Desconocido,Terror,0,0,5.6,0
El Grinch,Jim Carrey,Taylor Momsen,Familia,123000000,345800000,6.779,1
Mátalos a todos 2,Jean-Claude Van Damme,Jacqueline Fernandez,Acción,0,0,6.7,0
La idea de tenerte,Nicholas Galitzine,Anne Hathaway,Romance,0,36178,7.412,0
La enfermera,Judd Nelson,Paz de la Huerta,Terror,10000000,0,5.3,0
Wish: El poder de los deseos,Chris Pine,Ariana DeBose,Animación,175000000,254997360,6.3,1
El lobo de Wall Street,Leonardo DiCaprio,Margot Robbie,Crimen,100000000,392000000,8.0,1
Mátalos a todos 2,Jean-Claude Van Damme,Jacqueline Fernandez,Acción,0,0,6.7,0
Matrix,Keanu Reeves,Carrie-Anne Moss,Acción,63000000,463517383,8.221,1
పుష్పా 2 - The Rule,Allu Arjun,Rashmika Mandanna,Acción,63000000,199000000,7.1,1
El señor de los anillos: Las dos torres,Elijah Wood,Miranda Otto,Aventura,79000000,926287400,8.4,1
Y2K,Jaeden Martell,Rachel Zegler,Comedia,15000000,4210306,5.3,0
Seis Triple Ocho,Sam Waterston,Kerry Washington,Drama,0,0,7.772,0
The End,George MacKay,Tilda Swinton,Drama,0,24972,5.5,0
El Método Knox,Michael Keaton,Marcia Gay Harden,Acción,963703,0,7.0,0
Nunca te sueltes,Anthony B. Jenkins,Halle Berry,Terror,20000000,21768945,6.3,1
Longlegs,Nicolas Cage,Maika Monroe,Crimen,10000000,126942386,6.6,1
